nome_modelo,mse,rmse,tempo_consumo (s),memoria_consumo (mb)
ViTime_moving_10seg_run17,1.7857372886759115,1.3363148164545329,0.264490995,7.256969451904297
ViTime_moving_10seg_run18,1.7857372886759115,1.3363148164545329,0.273030289,7.256969451904297
ViTime_moving_10seg_run19,1.7857372886759115,1.3363148164545329,0.269254949,7.256969451904297
ViTime_moving_10seg_run20,1.7857372886759115,1.3363148164545329,0.269514375,7.256969451904297
ViTime_moving_10seg_run21,1.7857372886759115,1.3363148164545329,0.268118157,7.256969451904297
ViTime_moving_10seg_run22,1.7857372886759115,1.3363148164545329,0.27023956,7.256969451904297
ViTime_moving_10seg_run23,1.7857372886759115,1.3363148164545329,0.268760201,7.256969451904297
ViTime_moving_10seg_run24,1.7857372886759115,1.3363148164545329,0.269086264,7.256969451904297
ViTime_moving_10seg_run25,1.7857372886759115,1.3363148164545329,0.272598791,7.256969451904297
ViTime_moving_10seg_run26,1.7857372886759115,1.3363148164545329,0.268189194,7.256969451904297
ViTime_moving_10seg_run27,1.7857372886759115,1.3363148164545329,0.264690967,7.256969451904297
ViTime_moving_10seg_run28,1.7857372886759115,1.3363148164545329,0.264919868,7.256969451904297
ViTime_moving_10seg_run29,1.7857372886759115,1.3363148164545329,0.265248373,7.256969451904297
ViTime_moving_10seg_run30,1.7857372886759115,1.3363148164545329,0.26488093,7.256969451904297
ViTime_full_30seg_run1,28.443331685660308,5.333229011177028,0.540365233,7.277803421020508
ViTime_full_30seg_run2,28.443331685660308,5.333229011177028,0.265759309,7.257091522216797
ViTime_full_30seg_run3,28.443331685660308,5.333229011177028,0.26677818,7.256969451904297
ViTime_full_30seg_run4,28.443331685660308,5.333229011177028,0.265379249,7.256969451904297
ViTime_full_30seg_run5,28.443331685660308,5.333229011177028,0.2693985,7.256969451904297
ViTime_full_30seg_run6,28.443331685660308,5.333229011177028,0.270912876,7.256969451904297
ViTime_full_30seg_run7,28.443331685660308,5.333229011177028,0.269683678,7.256969451904297
ViTime_full_30seg_run8,28.443331685660308,5.333229011177028,0.270097075,7.256969451904297
ViTime_full_30seg_run9,28.443331685660308,5.333229011177028,0.271039576,7.256969451904297
ViTime_full_30seg_run10,28.443331685660308,5.333229011177028,0.270785224,7.256969451904297
ViTime_full_30seg_run11,28.443331685660308,5.333229011177028,0.263789974,7.256969451904297
ViTime_full_30seg_run12,28.443331685660308,5.333229011177028,0.271181618,7.256969451904297
ViTime_full_30seg_run13,28.443331685660308,5.333229011177028,0.272093568,7.256969451904297
ViTime_full_30seg_run14,28.443331685660308,5.333229011177028,0.267751707,7.256969451904297
ViTime_full_30seg_run15,28.443331685660308,5.333229011177028,0.265833662,7.256969451904297
ViTime_full_30seg_run16,28.443331685660308,5.333229011177028,0.266452818,7.256969451904297
ViTime_full_30seg_run17,28.443331685660308,5.333229011177028,0.270823591,7.256969451904297
ViTime_full_30seg_run18,28.443331685660308,5.333229011177028,0.266574764,7.256969451904297
ViTime_full_30seg_run19,28.443331685660308,5.333229011177028,0.267490645,7.256969451904297
ViTime_full_30seg_run20,28.443331685660308,5.333229011177028,0.267210765,7.256969451904297
ViTime_full_30seg_run21,28.443331685660308,5.333229011177028,0.266029254,7.256969451904297
ViTime_full_30seg_run22,28.443331685660308,5.333229011177028,0.26749949,7.256969451904297
ViTime_full_30seg_run23,28.443331685660308,5.333229011177028,0.266499651,7.256969451904297
ViTime_full_30seg_run24,28.443331685660308,5.333229011177028,0.26814699,7.256969451904297
ViTime_full_30seg_run25,28.443331685660308,5.333229011177028,0.267543698,7.256969451904297
ViTime_full_30seg_run26,28.443331685660308,5.333229011177028,0.268487664,7.256969451904297
